aptSeq,aptNm,umdNm,road_key,jibun_key,거래건수,kaptCode,kaptName,matched_by
11680-295,개포현대200동,개포동,언주로 105,개포동 655-1,5,,,none
11680-3600,파크힐,도곡동,도곡로14길 14-1,도곡동 550-1,5,,,none
11680-161,우민,논현동,언주로136길 21,논현동 107-44,5,,,none
11680-274,트레벨,역삼동,도곡로57길 9-7,역삼동 766-8,5,,,none
11680-3633,청담2차이-편한세상(204동),청담동,도산대로70길 43,청담동 15,5,,,none
11680-525,미켈란147,삼성동,봉은사로 516,삼성동 147-2,5,,,none
11680-400,금호어울림,삼성동,봉은사로111길 25,삼성동 102-2,4,,,none
11680-452,우찬,신사동,압구정로18길 14-12,신사동 550-20,4,,,none
11680-18,알파임하우스1,신사동,언주로164길 20,신사동 649-5,4,,,none
11680-5083,대치더클래스,대치동,삼성로51길 10-14,대치동 1031,4,,,none
11680-403,쌍용플래티넘,삼성동,봉은사로 474,삼성동 117,4,,,none
11680-4129,EGSoulLeader,역삼동,테헤란로14길 34,역삼동 828-28,4,,,none
11680-261,명인갤러리,역삼동,언주로75길 22,역삼동 729-37,4,,,none
11680-671,새롬(1164-13),개포동,논현로2길 36,개포동 1164-13,4,,,none
11680-302,삼성,일원동,개포로124길 27,일원동 626,4,,,none
11680-459,프리마빌,역삼동,역삼로25길 17,역삼동 727-11,4,,,none
11680-3645,삼성동신영지웰,삼성동,봉은사로 448,삼성동 114-11,4,,,none
11680-341,우성캐릭터빌,도곡동,언주로 122,도곡동 467-18,4,,,none
11680-383,한양8(81동한개동),압구정동,압구정로 403,압구정동 510,4,,,none
11680-3575,한신오페라하우스2차,청담동,학동로63길 14,청담동 35-48,4,,,none
11680-3704,청담2차이-편한세상(205동),청담동,도산대로78길 51,청담동 15-21,4,,,none
11680-4730,더원센트럴,논현동,학동로53길 3-8,논현동 118-8,4,,,none
11680-192,삼성풍림2차아파트,삼성동,봉은사로105길 12-7,삼성동 104,4,,,none
11680-3709,채널리저브,삼성동,삼성로 517,삼성동 144-14,4,,,none
11680-673,뉴현대파크빌,개포동,논현로2길 61-4,개포동 1164-30,4,,,none
11680-3698,삼환SOGOOD,대치동,도곡로 413,대치동 938-16,4,,,none
11680-439,은탑리더스카운티,논현동,학동로9길 15,논현동 44-6,4,,,none
11680-180,삼성파크,삼성동,삼성로99길 14,삼성동 126,4,,,none
11680-5291,도곡월드메르디앙아파트,도곡동,도곡로18길 59,도곡동 973,4,,,none
11680-6668,역삼센트럴아파트,역삼동,봉은사로26길 27,역삼동 905,4,,,none
11680-89,현대한강빌라,청담동,도산대로85길 56,청담동 106,3,,,none
11680-210,삼성3차,대치동,도곡로78길 13,대치동 1016-2,3,,,none
11680-199,호산프라자,삼성동,선릉로 604,삼성동 37,3,,,none
11680-248,리치타워,역삼동,논현로105길 52,역삼동 604,3,,,none
11680-30,목화,청담동,도산대로85길 53,청담동 105-6,3,,,none
11680-4082,상지리츠빌카일룸(65-4),삼성동,삼성로 636,삼성동 65-4,3,,,none
11680-394,풍림아이원아파트,대치동,역삼로 436,대치동 910-4,3,,,none
11680-3843,논현웰스톤,논현동,학동로43길 38,논현동 108,3,,,none
11680-3581,시티(B동),삼성동,봉은사로109길 66-7,삼성동 97-2,3,,,none
11680-5065,브라이튼N40,논현동,논현로131길 44,논현동 40,3,,,none
11680-4667,동원스위트뷰역삼,역삼동,역삼로19길 25,역삼동 745-13,3,,,none
11680-433,필로스(193-45),도곡동,남부순환로381길 57,도곡동 193-45,3,,,none
11680-527,대치동우정에쉐르2(890-42),대치동,테헤란로68길 15,대치동 890-42,3,,,none
11680-5002,브르넨삼성,삼성동,영동대로122길 2,삼성동 90,3,,,none
11680-369,상지리츠빌4B,청담동,압구정로77길 39,청담동 114-18,3,,,none
11680-155,현대인텔렉스,논현동,언주로 620,논현동 261,3,,,none
11680-3683,역삼디오슈페리움,역삼동,강남대로 324,역삼동 832-5,3,,,none
11680-664,우림루미아트2,역삼동,언주로90길 4,역삼동 706-10,3,,,none
11680-46,상지리츠빌6,청담동,도산대로85길 52,청담동 106-1,3,,,none
11680-3721,쎄비앙102동,역삼동,역삼로34길 25,역삼동 778-5,3,,,none
11680-396,풍림아이원2차202동,대치동,역삼로74길 8,대치동 910-6,3,,,none
11680-498,상지리츠빌(2호라인),역삼동,언주로 322,역삼동 761,3,,,none
11680-598,삼성월드타워,삼성동,학동로 408,삼성동 3-1,3,,,none
11680-1364,아람손프라자/비바빌,개포동,논현로2길 22,개포동 1164-7,3,,,none
11680-3665,영무예다음,삼성동,봉은사로72길 33,삼성동 122-7,3,,,none
11680-4914,에비뉴나인티,청담동,도산대로59길 24,청담동 90-13,3,,,none
11680-490,역삼예명,역삼동,봉은사로34길 53,역삼동 664-5,3,,,none
11680-128,세호시티라이프,논현동,강남대로128길 27,논현동 122-25,3,,,none
11680-3705,한화꿈에그린2차,논현동,봉은사로21길 19,논현동 194-23,3,,,none
11680-708,대명비발디,도곡동,도곡로6길 18,도곡동 944-6,3,,,none
11680-4957,시티프라디움더강남201동,역삼동,언주로 555,역삼동 901,3,,,none
11680-124,삼성빌라트,논현동,학동로31길 29,논현동 79-5,3,,,none
11680-3779,아펠바움,삼성동,영동대로114길 72,삼성동 99-3,2,,,none
11680-713,하야트빌,신사동,논현로159길 56,신사동 551-5,2,,,none
11680-469,마블하우스,논현동,봉은사로51길 36,논현동 267-23,2,,,none
11680-265,역삼동칼라,역삼동,논현로101길 6,역삼동 607-17,2,,,none
11680-17,신사동닛시빌라트,신사동,압구정로42길 46,신사동 634-14,2,,,none
11680-171,삼부아파트102동,삼성동,봉은사로111길 34,삼성동 99,2,,,none
11680-273,공간쉐르빌,역삼동,언주로63길 32,역삼동 783-30,2,,,none
11680-16,대성아파트,신사동,논현로151길 45,신사동 540-2,2,,,none
11680-22,현대빌라트,압구정동,압구정로29길 49,압구정동 446,2,,,none
11680-665,우림루미아트1,역삼동,언주로90길 6,역삼동 706-11,2,,,none
11680-4584,더갤러리파크,청담동,영동대로141길 14,청담동 54-5,2,,,none
11680-672,새롬(1164-14),개포동,논현로2길 38,개포동 1164-14,2,,,none
11680-591,상지리츠빌9차,청담동,압구정로77길 27,청담동 116-10,2,,,none
11680-4359,청담아르지움,청담동,삼성로135길 15,청담동 32,2,,,none
11680-50,씨티2차(201동),청담동,선릉로190길 92,청담동 104-19,2,,,none
11680-508,SM드림빌,삼성동,봉은사로61길 34,삼성동 29-11,2,,,none
11680-547,현대아인빌,신사동,압구정로22길 29,신사동 569-1,2,,,none
11680-3635,현대삼성동1차,삼성동,삼성로120길 52-5,삼성동 57-9,2,,,none
11680-461,노블스위트,역삼동,역삼로19길 14,역삼동 747,2,,,none
11680-193,풍림,삼성동,테헤란로77길 22,삼성동 129-20,2,,,none
11680-582,힐타워,논현동,강남대로132길 26,논현동 53-1,2,,,none
11680-3899,마크힐스이스트윙,청담동,영동대로142길 19,청담동 130-7,2,,,none
11680-4096,논현라폴리움,논현동,학동로46길 32,논현동 252,2,,,none
11680-402,아셈,삼성동,영동대로112길 22,삼성동 108-1,2,,,none
11680-4069,요진와이시티미니,역삼동,역삼로25길 21,역삼동 727-9,2,,,none
11680-3862,로덴하우스웨스트빌리지,도곡동,남부순환로378길 11,도곡동 462-2,2,,,none
11680-4655,프리빌리지,역삼동,언주로81길 28,역삼동 723-16,2,,,none
11680-67,청담로얄카운티,청담동,도산대로83길 27,청담동 117-3,2,,,none
11680-500,경일역삼,역삼동,논현로72길 32,역삼동 775-14,2,,,none
11680-39,삼호빌라A동,청담동,도산대로83길 43,청담동 113-16,2,,,none
11680-678,청담8차상지리츠빌,청담동,도산대로83길 22,청담동 121-14,2,,,none
11680-87,청담동현대빌라트,청담동,도산대로83길 36,청담동 121,2,,,none
11680-4802,효성빌라청담101(B동),청담동,압구정로71길 28,청담동 101-17,2,,,none
11680-476,대우로얄카운티2,청담동,도산대로81길 26,청담동 116-5,2,,,none
11680-687,청원,대치동,도곡로69길 16,대치동 934-1,2,,,none
11680-513,삼성리치빌1,삼성동,학동로82길 6,삼성동 52-9,2,,,none
11680-485,진흥아마란스,신사동,언주로157길 23,신사동 626-1,2,,,none
11680-329,벨라빌,도곡동,남부순환로375길 6,도곡동 193-42,2,,,none
11680-4756,라테라스청담,청담동,학동로81길 9,청담동 76-12,2,,,none
11680-3570,역삼동월드메르디앙,역삼동,도곡로21길 15,역삼동 795-41,2,,,none
11680-412,영풍마드레빌,청담동,학동로63길 13,청담동 36,2,,,none
11680-3923,삼성동신도브래뉴,삼성동,삼성로103길 12,삼성동 121-38,2,,,none
11680-3740,RudenHouse,신사동,강남대로162길 41-8,신사동 524-8,2,,,none
11680-3712,상지리츠빌역삼2차,역삼동,도곡로43길 37,역삼동 761-3,2,,,none
11680-581,리치타운,개포동,개포로28길 28,개포동 1204-5,2,,,none
11680-15,신사동씨티빌,신사동,강남대로162길 27-26,신사동 523-4,2,,,none
11680-686,한티(933-0),대치동,도곡로73길 18,대치동 933,2,,,none
11680-436,연세리버테라스,청담동,선릉로190길 64,청담동 102,2,,,none
11680-599,우림루미아트,삼성동,봉은사로81길 8,삼성동 75-3,2,,,none
11680-3881,청담파라곤Ⅱ2단지,청담동,선릉로190길 68,청담동 102-13,2,,,none
11680-602,하이캐슬102동,대치동,삼성로64길 36,대치동 986,2,,,none
11680-494,우정에쉐르멤버스,역삼동,선릉로87길 14,역삼동 708-31,2,,,none
11680-589,울트라멤버스,도곡동,남부순환로381길 25,도곡동 162-4,2,,,none
11680-266,로얄빌리지,역삼동,테헤란로21길 18,역삼동 644-6,2,,,none
11680-61,청담힐(에이동)진도(비동),청담동,압구정로77길 36,청담동 113,2,,,none
11680-3672,신성미소시티,대치동,역삼로 451,대치동 904-10,2,,,none
11680-3628,블루밍하우스,삼성동,학동로82길 25,삼성동 64-4,2,,,none
11680-4197,삼성동라테라스,삼성동,봉은사로 645,삼성동 110-2,2,,,none
11680-463,노블카운티,역삼동,도곡로19길 13,역삼동 794-24,2,,,none
11680-3844,로체샤르캐슬,논현동,언주로136길 16,논현동 114-23,2,,,none
11680-3879,도곡지웰카운티101동,도곡동,남부순환로373길 3,도곡동 199-4,2,,,none
11680-24,구산,청담동,도산대로101길 34,청담동 128-1,2,,,none
11680-355,도곡현대힐스테이트103동,도곡동,남부순환로379길 19,도곡동 183-8,2,,,none
11680-3660,우찬현대(1260-2),개포동,개포로31길 9-9,개포동 1260-2,2,,,none
11680-567,현대아이리스1,도곡동,도곡로6길 14,도곡동 944-5,2,,,none
11680-670,새롬(1164-12),개포동,논현로2길 34,개포동 1164-12,2,,,none
11680-689,대치하나빌,대치동,삼성로57길 37-5,대치동 1015-6,2,,,none
11680-97,청담매스터빌,청담동,도산대로81길 69,청담동 141-1,2,,,none
11680-4763,이지마루역삼,역삼동,테헤란로27길 8-14,역삼동 678-27,2,,,none
11680-3958,이산,논현동,논현로111길 34,논현동 194-22,2,,,none
11680-483,청담그랑빌,청담동,학동로77길 5,청담동 46-5,1,,,none
11680-3577,대우멤버스카운티501,삼성동,봉은사로55길 36,삼성동 33-22,1,,,none
11680-3661,우찬현대(1260-4),개포동,개포로31길 9-5,개포동 1260-4,1,,,none
11680-683,대치타워,대치동,삼성로71길 11-8,대치동 914-8,1,,,none
11680-90,호원빌라,청담동,압구정로75길 15,청담동 115-17,1,,,none
11680-3659,이니그마빌-III,도곡동,남부순환로373길 21,도곡동 201,1,,,none
11680-521,이안애2차,삼성동,테헤란로77길 27,삼성동 130-6,1,,,none
11680-3755,리갈팰리스,신사동,도산대로35길 46,신사동 626,1,,,none
11680-3479,도곡하이빌,도곡동,남부순환로363길 9-6,도곡동 919-3,1,,,none
11680-3673,신사아이빌(522),신사동,압구정로2길 15,신사동 522,1,,,none
11680-230,메트로,대치동,삼성로75길 34,대치동 901-51,1,,,none
11680-444,논현아트빌,논현동,논현로124길 7,논현동 215-14,1,,,none
11680-518,삼성오네뜨,삼성동,테헤란로79길 42,삼성동 127-5,1,,,none
11680-675,아노스카운트빌라트,청담동,도산대로61길 13,청담동 90-17,1,,,none
11680-3685,상지리츠빌카일룸2차,청담동,압구정로79길 87,청담동 128-18,1,,,none
11680-479,포이벨리,개포동,양재대로 379,개포동 1164-28,1,,,none
11680-706,PLUMHILLS,도곡동,남부순환로373길 26,도곡동 193-67,1,,,none
11680-263,역삼카이스아파트,역삼동,도곡로7길 23,역삼동 836-35,1,,,none
11680-544,청림빌,신사동,논현로153길 42,신사동 555-11,1,,,none
11680-595,우정에쉐르3,역삼동,언주로86길 25,역삼동 707-15,1,,,none
11680-511,그라나다,삼성동,선릉로112길 74,삼성동 45-5,1,,,none
11680-1,강남상가,신사동,압구정로2길 46,신사동 510-11,1,,,none
11680-570,청담대우멤버스카운티7차,청담동,도산대로85길 50-14,청담동 110-3,1,,,none
11680-366,도곡현대힐스테이트102동,도곡동,남부순환로377길 18,도곡동 183-7,1,,,none
11680-3861,로덴하우스이스트빌리지,도곡동,남부순환로378길 9,도곡동 462-1,1,,,none
11680-3670,프리우스역삼101동,역삼동,강남대로94길 51-14,역삼동 636-33,1,,,none
11680-4862,청담어퍼하우스,청담동,학동로81길 28,청담동 64-1,1,,,none
11680-477,리더스,개포동,논현로2길 62,개포동 1164-25,1,,,none
11680-454,청담파크빌,청담동,학동로 437-5,청담동 46-12,1,,,none
11680-356,도곡현대힐스테이트101동,도곡동,남부순환로379길 15,도곡동 183,1,,,none
11680-49,씨티2차(202동),청담동,선릉로190길 90,청담동 104-13,1,,,none
11680-1327,(828-21),역삼동,테헤란로10길 25,역삼동 828-21,1,,,none
11680-3613,도곡푸르지오,도곡동,강남대로54길 6,도곡동 949-1,1,,,none
11680-231,세연파크뷰,대치동,삼성로63길 16-5,대치동 929-8,1,,,none
11680-3981,상지리츠빌카일룸(1009-4),대치동,도곡로 603,대치동 1009-4,1,,,none
11680-132,신동아,논현동,논현로118길 17,논현동 222-18,1,,,none
11680-441,요진보네르,논현동,학동로5길 20,논현동 46-3,1,,,none
11680-533,동민맥스빌A동,대치동,선릉로62길 38,대치동 938-11,1,,,none
11680-3863,빌폴라리스,청담동,압구정로79길 76,청담동 129-7,1,,,none
11680-326,럭키(462),도곡동,남부순환로 2740,도곡동 462,1,,,none
11680-370,상지리츠빌5B,청담동,도산대로101길 17-5,청담동 127-37,1,,,none
11680-235,네스빌(728-10),역삼동,테헤란로28길 47,역삼동 728-10,1,,,none
11680-40,삼호빌라씨동,청담동,도산대로83길 55,청담동 104-5,1,,,none
11680-5045,도곡루아르,도곡동,도곡로 128,도곡동 941-1,1,,,none
11680-432,지고하임(101동),논현동,학동로9길 21,논현동 44-8,1,,,none
11680-27,대우리츠카운티,청담동,도산대로83길 35,청담동 117-22,1,,,none
11680-3860,삼성동브라운스톤레전드,삼성동,선릉로 660,삼성동 8-2,1,,,none
11680-4218,엘에이치삼성도시형생활주택,삼성동,영동대로112길 46,삼성동 109-21,1,,,none
11680-3855,상지리츠빌카일룸3차,청담동,압구정로79길 72,청담동 129-16,1,,,none
11680-26,뉴현대리버빌,청담동,영동대로142길 7,청담동 130-10,1,,,none
11680-5257,아츠논현,논현동,언주로 624,논현동 249-9,1,,,none
11680-548,압구정케이씨씨(622-1),신사동,언주로167길 9,신사동 622-1,1,,,none
11680-5042,효성빌라청담101(2차),청담동,압구정로75길 27,청담동 115-6,1,,,none
11680-3819,아델하우스,삼성동,학동로82길 29,삼성동 64-5,1,,,none
11680-3814,예지인,역삼동,테헤란로10길 42,역삼동 828-11,1,,,none
11680-712,도곡그린빌,도곡동,강남대로44길 24,도곡동 955,1,,,none
11680-681,삼부아파트(101동),삼성동,봉은사로111길 26,삼성동 99-13,1,,,none
11680-450,신동아빌라트,청담동,도산대로81길 61,청담동 141-6,1,,,none
11680-59,연세청담파크빌,청담동,삼성로140길 35,청담동 59-21,1,,,none
11680-179,세방타운하우스,삼성동,삼성로120길 21,삼성동 64-7,1,,,none
11680-534,동민맥스빌B동,대치동,도곡로69길 7,대치동 938-13,1,,,none
11680-368,삼호빌라B동,청담동,도산대로83길 49,청담동 113-23,1,,,none
11680-4399,강남한신휴플러스8단지,율현동,밤고개로27길 20,율현동 513,1,,,none
11680-3626,강남한솔,역삼동,도곡로19길 17,역삼동 794-19,1,,,none
11680-3690,논현프라임아파트,논현동,봉은사로11길 11,논현동 196-4,1,,,none
11680-298,개포현대6차,개포동,개포로15길 32-8,개포동 1242-2,1,,,none
11680-685,동양,대치동,선릉로72길 10-7,대치동 920-32,1,,,none
11680-410,역삼르비앙1,역삼동,도곡로11길 13,역삼동 835-12,1,,,none
11680-717,논현동프라임,논현동,논현로113길 5,논현동 192-3,1,,,none
11680-25,골든아트빌,청담동,삼성로135길 28,청담동 28-13,1,,,none
11680-3578,대우멤버스카운티301,삼성동,봉은사로57길 33,삼성동 33-24,1,,,none
11680-3176,학동,논현동,논현로124길 28,논현동 217-34,1,,,none
11680-553,케이씨빌,논현동,선릉로137길 20,논현동 104-23,1,,,none
11680-3583,삼성웰피아,삼성동,테헤란로77길 31,삼성동 130-2,1,,,none
11680-594,역삼엔스위트102동,역삼동,언주로103길 14,역삼동 656-31,1,,,none
11680-568,뉴현대,신사동,압구정로18길 14-14,신사동 550-5,1,,,none
11680-164,테크노빌라트,논현동,선릉로111길 38-16,논현동 271-6,1,,,none
11680-3697,선릉역풍림아이원레몬,대치동,테헤란로64길 13,대치동 890-54,1,,,none
11680-556,제이빌,논현동,학동로43길 30,논현동 108-2,1,,,none
11680-584,토미,신사동,논현로158길 17,신사동 593-32,1,,,none
11680-4863,강남웅진베어스빌,역삼동,도곡로 113,역삼동 838-10,1,,,none
11680-137,논현빌라트,논현동,선릉로137길 6,논현동 102-9,1,,,none
11680-84,현대빌라(43-1),청담동,선릉로132길 42,청담동 43-1,1,,,none
11680-260,풍림지오빌,역삼동,테헤란로5길 36,역삼동 635-5,1,,,none
11680-674,포이현대빌라트,개포동,논현로4길 50,개포동 1165,1,,,none
11680-431,비쥬힐,논현동,학동로21길 23,논현동 39-10,1,,,none
11680-509,대우멤버스카운티201,삼성동,봉은사로57길 37,삼성동 33-20,1,,,none
11680-663,에벤에셀빌라트,역삼동,언주로104길 35,역삼동 685-19,1,,,none
11680-233,거평빌라트,역삼동,도곡로17길 12,역삼동 794-28,1,,,none
11680-574,청담대우멤버스카운티9차,청담동,도산대로99길 28-7,청담동 110-7,1,,,none
11680-447,한양팰리스,대치동,삼성로61길 9,대치동 941-13,1,,,none
11680-449,상지리츠빌,개포동,개포로 405,개포동 176-1,1,,,none
11680-5267,에테르노청담,청담동,도산대로85길 50-13,청담동 106-7,1,,,none
11680-576,청담대우멤버스카운티12차,청담동,도산대로99길 30,청담동 110-11,1,,,none
11680-4871,BRUNNEN청담,청담동,도산대로99길 68,청담동 114-9,1,,,none
11680-3840,네오블로썸,삼성동,선릉로112길 47,삼성동 42-4,1,,,none
11680-99,이니그마빌2,청담동,도산대로61길 19,청담동 90-10,1,,,none
